week,week_start,monthly_theme,primary_room,weekly_anchor,anchor_format,giveaway_or_journey,email_primary_cta,community_action,product_milestone,primary_learning_signal
1,2026-08-03,Make Room,Transformed,You do not have to arrive impressive,Founder reflection,Where Are You Today room finder,Try the five-minute noticing practice,Reply with what you noticed,Dust status and asset inventory,Replies naming genuine recognition
2,2026-08-10,Make Room,Transformed,Attention is a form of love,Scripture moment and practice,Where Are You Today room finder,Choose one daily moment of attention,Share an optional prayer,Chronicle stage and ownership inventory,Practice starts and prayer consent quality
3,2026-08-17,Make Room,All,What are you carrying today,Guided reflection,Where Are You Today room finder,Choose the room that fits today,Founding-circle interview invitation,Seven-day journey draft review,Room choices and participant language
4,2026-08-24,Make Room,Transformed,A small practice of return,Audio meditation,Where Are You Today room finder,Complete the return practice,Founding-circle listening session,Approve September launch assets,Completion and seven-day return
5,2026-08-31,Make Room,All,What we learned before opening the door,Community learning note,No new giveaway,Preview September journey,Editorial rest and corrections,Pass or delay public Foyer gate,Clarity problems resolved
6,2026-09-07,Ordinary Beginnings,Ordinary,Peter before anyone called him courageous,Narrative reflection,Seven Days of Being With Jesus,Begin day one,Share where you feel ordinary,Open Foyer and room pathways,Journey starts
7,2026-09-14,Ordinary Beginnings,Ordinary,Worth before credentials,Scripture reflection,Seven Days of Being With Jesus,Continue to day three,Answer the identity prompt,Dust interest list or sample gate,Day-three continuation
8,2026-09-21,Ordinary Beginnings,Ordinary,What others called you is not your final name,Permissioned story,Seven Days of Being With Jesus,Complete the worth practice,Offer encouragement without advice,Test Dust promise and sample,Story resonance and replies
9,2026-09-28,Ordinary Beginnings,Ordinary,Ordinary places where Jesus meets people,Video reflection,Seven Days of Being With Jesus,Finish day seven and choose a room,First live founder conversation,Dust launch gate review,Journey completion and room continuation
10,2026-10-05,Courage in Real Life,Courageous,Courage is faithfulness with fear still present,Teaching and practice,The Next Faithful Step guide,Name one faithful step,Invite prayer for the step,Dust T-minus sequence if ready,Named next steps
11,2026-10-12,Courage in Real Life,Courageous,The hard conversation,Story and preparation practice,The Next Faithful Step guide,Use the conversation worksheet,Private prayer follow-up option,Dust preview event or fallback sample,Worksheet use and follow-up consent
12,2026-10-19,Courage in Real Life,Courageous,Acting before certainty,Scripture and founder story,The Next Faithful Step guide,Take the smallest honest action,Group courage conversation,Dust launch window A,Buyers who begin onboarding
13,2026-10-26,Courage in Real Life,Courageous,Courage that does not need applause,Participant story,The Next Faithful Step guide,Reflect on fruit rather than recognition,Share a private reflection,Dust onboarding and support review,Practice completion and buyer continuation
14,2026-11-02,Notice the Good,Transformed,Attention in an anxious season,Guided reflection,Notice the Good examen,Try the evening examen,Submit an optional gratitude,Resolve Dust fulfillment issues,Repeat use of the examen
